id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-09-28 22:57:23,"{""short_code"":""J1O697"",""original_url"":""https://seeded.app/dawn/harvest/1""}"
2,2,17,created,2025-06-30 22:31:59,"{""short_code"":""bwm6Ki"",""original_url"":""https://hackstack.io/opal/window/2""}"
3,3,190,created,2025-12-24 13:50:17,"{""short_code"":""WYuOhq"",""original_url"":""https://example.com/amber/trail/3""}"
4,4,46,created,2025-12-04 06:12:53,"{""short_code"":""2i3tqn"",""original_url"":""https://hackstack.io/young/meadow/4""}"
5,5,134,created,2025-03-03 21:04:31,"{""short_code"":""N2LoaE"",""original_url"":""https://opswise.net/amber/delta/5""}"
6,6,134,created,2025-03-03 15:19:32,"{""short_code"":""IXO5av"",""original_url"":""https://acme.dev/mellow/kernel/6""}"
7,7,270,created,2026-01-19 09:59:02,"{""short_code"":""bD3joi"",""original_url"":""https://seeded.app/gold/valley/7""}"
8,8,206,created,2025-07-31 04:17:32,"{""short_code"":""Q2IEaz"",""original_url"":""https://relay.cloud/jade/garden/8""}"
9,9,202,created,2026-02-12 03:36:46,"{""short_code"":""gPu0pi"",""original_url"":""https://acme.dev/gold/harvest/9""}"
10,10,152,created,2025-03-21 05:53:36,"{""short_code"":""kJeRcg"",""original_url"":""https://opswise.net/rapid/meadow/10""}"
11,11,250,created,2026-02-03 07:20:08,"{""short_code"":""XLmKEi"",""original_url"":""https://hackstack.io/clear/orbit/11""}"
12,12,270,created,2026-01-21 14:40:36,"{""short_code"":""NI4MBM"",""original_url"":""https://opswise.net/opal/engine/12""}"
13,13,15,created,2025-09-25 07:48:40,"{""short_code"":""pssdtF"",""original_url"":""https://opswise.net/opal/window/13""}"
14,14,280,created,2025-03-29 17:31:31,"{""short_code"":""O6tsBR"",""original_url"":""https://hackstack.io/warm/island/14""}"
15,15,202,created,2025-07-06 15:21:09,"{""short_code"":""l6kuOn"",""original_url"":""https://example.com/dawn/signal/15""}"
16,16,354,created,2025-01-30 15:05:32,"{""short_code"":""hWdNxj"",""original_url"":""https://seeded.app/dawn/harvest/16""}"
17,17,100,created,2025-09-08 21:01:25,"{""short_code"":""Ccbbj6"",""original_url"":""https://seeded.app/young/lagoon/17""}"
18,18,385,created,2025-10-08 07:37:59,"{""short_code"":""yK4q6A"",""original_url"":""https://hackstack.io/vivid/garden/18""}"
19,19,199,created,2025-12-11 12:13:51,"{""short_code"":""RqkEM4"",""original_url"":""https://hackstack.io/clear/uplink/19""}"
20,20,31,created,2025-11-01 20:45:43,"{""short_code"":""HcX9AH"",""original_url"":""https://seeded.app/clear/zenith/20""}"
21,21,159,created,2025-05-01 21:01:07,"{""short_code"":""bIhALo"",""original_url"":""https://seeded.app/warm/river/21""}"
22,22,166,created,2025-02-07 06:11:56,"{""short_code"":""6vyMIT"",""original_url"":""https://example.com/calm/zenith/22""}"
23,23,367,created,2025-04-20 02:12:14,"{""short_code"":""F3vh9h"",""original_url"":""https://example.com/young/quartz/23""}"
24,24,300,created,2025-05-01 03:14:03,"{""short_code"":""S6Ntrc"",""original_url"":""https://hackstack.io/rapid/beacon/24""}"
25,25,31,created,2025-05-31 14:39:35,"{""short_code"":""ag7ink"",""original_url"":""https://hackstack.io/proud/field/25""}"
26,26,209,created,2025-11-19 09:34:49,"{""short_code"":""cj7Ltg"",""original_url"":""https://acme.dev/harbor/zenith/26""}"
27,27,245,created,2025-01-03 15:01:31,"{""short_code"":""LG05So"",""original_url"":""https://acme.dev/opal/river/27""}"
28,28,291,created,2025-02-03 22:41:23,"{""short_code"":""6Yfhsc"",""original_url"":""https://acme.dev/mellow/orbit/28""}"
29,29,303,created,2025-07-11 20:17:25,"{""short_code"":""LG9kfP"",""original_url"":""https://hackstack.io/ivory/garden/29""}"
30,30,167,created,2025-07-20 16:16:46,"{""short_code"":""2UJXiQ"",""original_url"":""https://relay.cloud/calm/zenith/30""}"
31,31,326,created,2025-01-16 09:23:08,"{""short_code"":""FJbtnn"",""original_url"":""https://relay.cloud/vivid/meadow/31""}"
32,32,262,created,2026-01-23 00:06:03,"{""short_code"":""mBkBJE"",""original_url"":""https://seeded.app/jade/kernel/32""}"
33,33,97,created,2025-11-29 22:02:11,"{""short_code"":""wJoOMA"",""original_url"":""https://example.com/brisk/window/33""}"
34,34,163,created,2025-01-28 17:01:50,"{""short_code"":""dTedtp"",""original_url"":""https://opswise.net/mellow/kernel/34""}"
35,35,89,created,2025-08-12 21:09:10,"{""short_code"":""mfhqL9"",""original_url"":""https://seeded.app/proud/network/35""}"
36,36,352,created,2025-09-05 14:18:25,"{""short_code"":""biQPE6"",""original_url"":""https://seeded.app/vivid/delta/36""}"
37,37,325,created,2025-02-20 17:46:32,"{""short_code"":""QkX0wF"",""original_url"":""https://hackstack.io/rapid/uplink/37""}"
38,38,49,created,2025-08-26 21:03:36,"{""short_code"":""0xkNK0"",""original_url"":""https://example.com/clear/delta/38""}"
39,39,12,created,2025-01-12 19:43:44,"{""short_code"":""Vs51Qq"",""original_url"":""https://acme.dev/cobalt/signal/39""}"
40,40,320,created,2026-01-21 23:56:59,"{""short_code"":""Oilnvn"",""original_url"":""https://hackstack.io/young/river/40""}"
41,41,275,created,2025-06-13 20:57:54,"{""short_code"":""xA4nNw"",""original_url"":""https://hackstack.io/gold/engine/41""}"
42,42,20,created,2025-02-17 20:04:54,"{""short_code"":""hPa3pR"",""original_url"":""https://opswise.net/harbor/field/42""}"
